siret,activitePrincipaleEtablissement,etatAdministratifEtablissement,adresse
13003161000053,84.24Z,A,10 SQUARE DE LA REPUBLIQUE ANZIN 59410
26020225400017,88.99B,A,10 RUE DE LA MAIRIE COURTEMONT-VARENNES 02850 MAIRIE
21974016400401,85.10Z,A,24 RUE PASTEUR CD28 SAINT-PIERRE 97432
20007089400130,42.99Z,A,3 RUE JEAN MOULIN NUITS-SAINT-GEORGES 21700
09688077800038,46.24Z,A,RUE DU LAZARET ANGLET 64600
03869335400011,81.10Z,A,9 RUE SOUFFLOT PARIS 75005
21140665700018,84.11Z,A,RUE ANDRE PIERRE MARIE SALLENELLES 14121
24830055000055,38.21Z,A,QUA LES SIGUES GONFARON 83590
03969374200015,81.10Z,A,63 RUE ANTOINE DURAFOUR SAINT-ETIENNE 42100
21330124500030,68.20B,A,1 LE BOURG CHAMADELLE 33230 MAIRIE
03911270100014,81.10Z,A,49 RUE JEAN-PIERRE TIMBAUD PARIS 75011
30123419100023,68.20A,A,[ND] [ND] [ND] HALLUIN [ND] [ND]
26310013300697,86.10Z,A,2 RUE CONDEAU TOULOUSE 31200
19760062000029,85.32Z,A,33 RUE DE FLEURUS LE HAVRE 76600
03896321100016,81.10Z,A,14 AVENUE RICHERAND PARIS 75010 RIS REP PAR
26380088000019,88.99B,A,MAIRIE CREYS-MEPIEU 38510
04014388500016,81.10Z,A,6 RUE LEON GAMBETTA GIVORS 69700
30086458400051,94.99Z,A,28 PLACE SAINT-MEDARD CREIL 60100
19850148800011,85.31Z,A,PL DE LA LIBERTE LES SABLES D'OLONNE 85100
21950176400175,86.22C,A,PLACE DU 11 NOVEMBRE CORMEILLES-EN-PARISIS 95240
19571994300019,85.31Z,A,5 RUE CHARLES PEGUY CATTENOM 57570
03986628000017,81.10Z,A,1 RUE DU POUNTET-DE-BAGES PERPIGNAN 66100
21240309100029,85.20Z,A,22 AVENUE GENERAL DE GAULLE NEUVIC 24190
21170274100078,42.99Z,A,3 RUE DU CHATEAU PERIGNY 17180 MAIRIE
13003189100034,84.24Z,A,6 RUE BOILEAU MERIGNAC 33700
21750001601058,85.20Z,A,103 AVENUE DE CHOISY PARIS 75013
21973313600028,85.20Z,A,LOTISSEMENT COMMUNAL MONTSINERY-TONNEGRANDE 97356
21100164900014,84.11Z,A,RUE DE LA GREVE HAMPIGNY 10500
03931053700012,81.10Z,A,15 AVENUE NIEL PARIS 75017 AR SA BERNARD VIDY
30024312800026,47.64Z,A,IMMEUBLE ALTINEIGE LES BELLEVILLE 73440 VAL THORENS
21880096900014,84.11Z,A,25 GRANDE RUE CHATILLON-SUR-SAONE 88410
01472930500012,81.10Z,A,16 RUE NICOLAS LARBAUD VICHY 03200
30002502000029,01.13Z,A,MOULIN DE L'ANE FONTIERS-CABARDES 11390
21490155500034,85.20Z,A,7 RUE DE LA FONTAINE GREZ-NEUVILLE 49220
20006081200027,85.20Z,A,RUE DU VILLAGE LUCHE-THOUARSAIS 79330 SITE DES ADILLONS
26830013400031,88.10B,A,96 CHEMIN DES PRES AUPS 83630 QUARTIER DU CHEMIN NEUF
21470077500015,84.11Z,A,1 PLACE DE LA MAIRIE CUZORN 47500
21380167300020,85.20Z,A,46 ROUTE DE CHAMPIER FLACHERES 38690
26350095100029,88.10A,A,PLACE DE LA MAIRIE LA CHAPELLE-ERBREE 35500 MAIRIE
26620705900020,88.10A,A,MAIRIE RETY 62720
13002338500326,85.42Z,A,1 RUE VICTOR COUSIN PARIS 75005
20003756200010,88.99B,A,20 ROUTE DU CRETON VASSELAY 18110 ZONE D'ACTIVITE TERTIAIRE
