siret,adresse,"Intitulés de la  NAF rév. 2, version finale"
13003161000053,10 SQUARE DE LA REPUBLIQUE ANZIN 59410,Activités d’ordre public et de sécurité
26020225400017,10 RUE DE LA MAIRIE COURTEMONT-VARENNES 02850 MAIRIE,Action sociale sans hébergement n.c.a.
21974016400401,24 RUE PASTEUR CD28 SAINT-PIERRE 97432,Enseignement pré-primaire
20007089400130,3 RUE JEAN MOULIN NUITS-SAINT-GEORGES 21700,Construction d'autres ouvrages de génie civil n.c.a.
09688077800038,RUE DU LAZARET ANGLET 64600,Commerce de gros (commerce interentreprises) de cuirs et peaux
03869335400011,9 RUE SOUFFLOT PARIS 75005,Activités combinées de soutien lié aux bâtiments
21140665700018,RUE ANDRE PIERRE MARIE SALLENELLES 14121,Administration publique générale
24830055000055,QUA LES SIGUES GONFARON 83590,Traitement et élimination des déchets non dangereux
03969374200015,63 RUE ANTOINE DURAFOUR SAINT-ETIENNE 42100,Activités combinées de soutien lié aux bâtiments
21330124500030,1 LE BOURG CHAMADELLE 33230 MAIRIE,Location de terrains et d'autres biens immobiliers
03911270100014,49 RUE JEAN-PIERRE TIMBAUD PARIS 75011,Activités combinées de soutien lié aux bâtiments
30123419100023,[ND] [ND] [ND] HALLUIN [ND] [ND],Location de logements
26310013300697,2 RUE CONDEAU TOULOUSE 31200,Activités hospitalières
19760062000029,33 RUE DE FLEURUS LE HAVRE 76600,Enseignement secondaire technique ou professionnel
03896321100016,14 AVENUE RICHERAND PARIS 75010 RIS REP PAR,Activités combinées de soutien lié aux bâtiments
26380088000019,MAIRIE CREYS-MEPIEU 38510,Action sociale sans hébergement n.c.a.
04014388500016,6 RUE LEON GAMBETTA GIVORS 69700,Activités combinées de soutien lié aux bâtiments
30086458400051,28 PLACE SAINT-MEDARD CREIL 60100,Autres organisations fonctionnant par adhésion volontaire
19850148800011,PL DE LA LIBERTE LES SABLES D'OLONNE 85100,Enseignement secondaire général
21950176400175,PLACE DU 11 NOVEMBRE CORMEILLES-EN-PARISIS 95240,Autres activités des médecins spécialistes
19571994300019,5 RUE CHARLES PEGUY CATTENOM 57570,Enseignement secondaire général
03986628000017,1 RUE DU POUNTET-DE-BAGES PERPIGNAN 66100,Activités combinées de soutien lié aux bâtiments
21240309100029,22 AVENUE GENERAL DE GAULLE NEUVIC 24190,Enseignement primaire
21170274100078,3 RUE DU CHATEAU PERIGNY 17180 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
13003189100034,6 RUE BOILEAU MERIGNAC 33700,Activités d’ordre public et de sécurité
21750001601058,103 AVENUE DE CHOISY PARIS 75013,Enseignement primaire
21973313600028,LOTISSEMENT COMMUNAL MONTSINERY-TONNEGRANDE 97356,Enseignement primaire
21100164900014,RUE DE LA GREVE HAMPIGNY 10500,Administration publique générale
03931053700012,15 AVENUE NIEL PARIS 75017 AR SA BERNARD VIDY,Activités combinées de soutien lié aux bâtiments
30024312800026,IMMEUBLE ALTINEIGE LES BELLEVILLE 73440 VAL THORENS,Commerce de détail d'articles de sport en magasin spécialisé
21880096900014,25 GRANDE RUE CHATILLON-SUR-SAONE 88410,Administration publique générale
01472930500012,16 RUE NICOLAS LARBAUD VICHY 03200,Activités combinées de soutien lié aux bâtiments
30002502000029,MOULIN DE L'ANE FONTIERS-CABARDES 11390,"Culture de légumes, de melons, de racines et de tubercules"
21490155500034,7 RUE DE LA FONTAINE GREZ-NEUVILLE 49220,Enseignement primaire
20006081200027,RUE DU VILLAGE LUCHE-THOUARSAIS 79330 SITE DES ADILLONS,Enseignement primaire
26830013400031,96 CHEMIN DES PRES AUPS 83630 QUARTIER DU CHEMIN NEUF,Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées
21470077500015,1 PLACE DE LA MAIRIE CUZORN 47500,Administration publique générale
21380167300020,46 ROUTE DE CHAMPIER FLACHERES 38690,Enseignement primaire
26350095100029,PLACE DE LA MAIRIE LA CHAPELLE-ERBREE 35500 MAIRIE,Aide à domicile
26620705900020,MAIRIE RETY 62720,Aide à domicile
13002338500326,1 RUE VICTOR COUSIN PARIS 75005,Enseignement supérieur
20003756200010,20 ROUTE DU CRETON VASSELAY 18110 ZONE D'ACTIVITE TERTIAIRE,Action sociale sans hébergement n.c.a.
03902792500013,17 BOULEVARD MALESHERBES PARIS 75008 75005 PARIS REP PAR,Activités combinées de soutien lié aux bâtiments
26230080900080,3 LA COTE RIBIERE MOUTIER-ROZEILLE 23200,Activités hospitalières
26190280300038,190 RUE GUSTAVE PARRE BORT-LES-ORGUES 19110 HOPITAL LOCAL,Hébergement médicalisé pour personnes âgées
09412263700013,QUA SIM BANDRABOUA 97650,Commerce d'alimentation générale
13000609100057,4 AVENUE DIDIER DAURAT COLOMIERS 31770,Administration publique (tutelle) des activités économiques
03887806200017,31 RUE DE L'UNION SAINT-CYR-L'ECOLE 78210 CYR L'ECOLE REP PAR,Activités combinées de soutien lié aux bâtiments
21420238400050,LE BOURG SAINT-JEAN-LA-VETRE 42440 MAIRIE,"Captage, traitement et distribution d'eau"
22840001600439,160 BOULEVARD JEAN LOUIS PASSET CARPENTRAS 84200,Administration publique générale
20005971500017,1 PL HENRI MARTIN AY-CHAMPAGNE 51150 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
24530017300037,18 PL 8 MAI 1945 LASSAY-LES-CHATEAUX 53110 MAIRIE,Services funéraires
21030220400040,HOTEL DE VILLE SAINT-BONNET-DE-ROCHEFORT 03800 MAIRIE,Services funéraires
19081009300012,RUE DE L'ESCAILLERE SIGNY-LE-PETIT 08380,Enseignement secondaire général
21370169100015,8 RUE DU 8 MAI 1945 NEUVILLE-SUR-BRENNE 37110,Administration publique générale
03937149700015,14 RUE VIGNON PARIS 75009 REP PAR SA ROGER DELIOUX,Activités combinées de soutien lié aux bâtiments
20004168900262,55 RUE MICHEL TEXIER SAINT-JEAN-D'ANGELY 17400,Location de terrains et d'autres biens immobiliers
21630605000016,SAINT-JUST 63600 MAIRIE,Administration publique générale
21800776300012,WOIREL 80140,Administration publique générale
20005941800067,AV DE LATTRE DE TASSIGNY QUILLAN 11500,Enseignement pré-primaire
30360096900057,10 RUE DU PARC OBERHAUSBERGEN 67205,Commerce de gros (commerce interentreprises) de produits chimiques
26620932900165,AV EMILE ROUX LIEVIN 62800 CTRE DE LA PETITE ENFANCE,Activités hospitalières
30039730400035,1 RUE DU MOULIN DOMPIERRE-SUR-YON 85170 ECOLE PRIVEE DE FILLES,Enseignement primaire
03922754100016,72 BD DES CHAMPS ELYSEES EVRY-COURCOURONNES 91000 REP PAR,Activités combinées de soutien lié aux bâtiments
30237459000032,2 RUE DE LA GLOYETTE ROMIGNY 51170,Location de terrains et d'autres biens immobiliers
24820009900096,9 RUE DE L'HOTEL DE VILLE MONTAUBAN 82000 MAIRIE,"Captage, traitement et distribution d'eau"
26490378200011,2 PLACE DE L'EGLISE SAINT-AUGUSTIN-DES-BOIS 49170 MAIRIE,Action sociale sans hébergement n.c.a.
03873957900019,41 RUE CORTAMBERT PARIS 75016,Activités combinées de soutien lié aux bâtiments
21580222400059,PLACE DE LA MAIRIE RIX 58500 MAIRIE,"Captage, traitement et distribution d'eau"
21280182300015,14 RUE DE LA MAIRIE GOHORY 28160,Administration publique générale
03902490600016,80 BOULEVARD BEAUMARCHAIS PARIS 75011,Activités combinées de soutien lié aux bâtiments
01316634300015,1 RUE DES IFS LE MANS 72000 RES DES IFS,Activités combinées de soutien lié aux bâtiments
02404776300016,4 RUE DE LA MAIRIE PAMANDZI 97615,Travaux d'installation électrique dans tous locaux
29680211900010,27 RUE PRINCIPALE OBERENTZEN 68127 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
26840004100045,165 CHEMIN DE LA PLANQUE CAVAILLON 84300,Action sociale sans hébergement n.c.a.
30214909100027,2 RUE DU FORBETH JURANCON 64110,Fabrication d'instrumentation scientifique et technique
20006792400023,1 RUE DES 11 COMMUNES BENFELD 67230,Construction d'autres ouvrages de génie civil n.c.a.
06580437900041,38 BOULEVARD GAY LUSSAC MARSEILLE 13014,
21290042700155,PL LEON BLUM CROZON 29160 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
21020056400099,PLACE CHARLES DE GAULLE BEAUREVOIR 02110 MAIRIE,"Captage, traitement et distribution d'eau"
29670054500019,21 RUE DE L’EGLISE ESCHWILLER 67320 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
20008100800019,250 CHEMIN DES ECOLES ARTIGUELOUVE 64230,Administration publique générale
20009331800018,SAINT-DENIS-CATUS 46150,"Captage, traitement et distribution d'eau"
26590389800020,PLACE JACQUES DUCLOS MASNIERES 59241 MAIRIE,Aide à domicile
22690001700980,4 RUE MOUILLARD LYON 69009,Action sociale sans hébergement n.c.a.
21750001613376,18 AVENUE PIERRE GOMAND LUSIGNY-SUR-BARSE 10270,Administration publique générale
03896212200016,3 RUE THEODULE RIBOT PARIS 75017,Activités combinées de soutien lié aux bâtiments
30365684704472,14 ROUTE DE SAINT PAUL PIERRELATTE 26700,Location de courte durée de voitures et de véhicules automobiles légers
03893747000011,14 RUE DES PINSONS ERAGNY 95610,Activités combinées de soutien lié aux bâtiments
30153389900011,123 RUE DE DOLE BESANCON 25000,Location de terrains et d'autres biens immobiliers
03969335300011,8 ROUTE DE BONSON SAINT-MARCELLIN-EN-FOREZ 42680,Activités combinées de soutien lié aux bâtiments
04228408300013,2 RUE AIME LEVET ANNECY 74000,Activités combinées de soutien lié aux bâtiments
01976940500010,AVENUE DE PROVENCE GRASSE 06130,Activités combinées de soutien lié aux bâtiments
21510034800022,GRANDE RUE BASSU 51300 MAIRIE,"Captage, traitement et distribution d'eau"
01487535500019,74 AVENUE DE LA REPUBLIQUE RIOM-ES-MONTAGNES 15400,Activités combinées de soutien lié aux bâtiments
21640324600046,LASSEUBE 64290,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
03921190900013,13 RUE CHALIGNY PARIS 75012 REP PAR SARL GSMGI,Activités combinées de soutien lié aux bâtiments
21570463601663,31 RUE DE VERDUN METZ 57000,Accueil de jeunes enfants
30255783000031,8 AVENUE MARCEL LE MIGNOT GONFREVILLE-L'ORCHER 76700,Transports routiers de fret interurbains
21770223200059,PLACE RAYMOND LAMBERT GURCY-LE-CHATEL 77520,Collecte et traitement des eaux usées
21440109301104,24 BOULEVARD GUSTAVE ROCH NANTES 44200,Enseignement primaire
04390698100014,182 RUE DE RIVOLI PARIS 75001 PARIS REP PAR,Activités combinées de soutien lié aux bâtiments
20000875300093,SOHOA CHICONI 97670,Enseignement pré-primaire
26560291200015,3 RUE SAINT HERNIN PLUHERLIN 56220 MAIRIE,Action sociale sans hébergement n.c.a.
03870770900010,16 BOULEVARD DE STRASBOURG PARIS 75010,Activités combinées de soutien lié aux bâtiments
30116075000362,24 GRAND RUE CHATEAULIN 29150,Activités hospitalières
21780242000083,RUE LAENNEC FONTENAY-LE-FLEURY 78330,Enseignement pré-primaire
30134058406761,1 PLACE SAMUEL DE CHAMPLAIN COURBEVOIE 92400,Travaux d'installation d'équipements thermiques et de climatisation
20008465500170,23 PL DE LA REPUBLIQUE CHATEAU-GONTIER-SUR-MAYENNE 53200 MAIRIE,Construction d'autres ouvrages de génie civil n.c.a.
26760125000017,AVENUE JEAN JAURES FONTAINE-LA-MALLET 76290 MAIRIE,Action sociale sans hébergement n.c.a.
21270476100023,ROUTE DE LISIEUX LES PREAUX 27500,Enseignement pré-primaire
30414260700015,MAIRIE DE SEBAZAC SEBAZAC-CONCOURES 12740,Autres services de restauration n.c.a.
01734165200158,30 RUE DU MOULIN FLEUREY-SUR-OUCHE 21410,Location de terrains et d'autres biens immobiliers
18008901308125,1 ALLEE DES GRANGES FORESTIER CHALON-SUR-SAONE 71100,Recherche-développement en autres sciences physiques et naturelles
04381805300019,11 RUE CLAUZEL PARIS 75009,Activités combinées de soutien lié aux bâtiments
03912238700010,12 RUE DE LA CHINE PARIS 75020,Activités combinées de soutien lié aux bâtiments
21430165700117,LE BOURG ROSIERES 43800 MAIRIE,Production d'électricité
26360006600181,5 AVENUE MAURICE ROLLINAT AIGURANDE 36140,Hébergement médicalisé pour personnes âgées
26270282200038,64 RTE DE LISIEUX PONT-AUDEMER 27500,Hébergement médicalisé pour personnes âgées
21590599300709,207 CHAUSSEE WATT TOURCOING 59200,Enseignement primaire
21250321300036,2 RUE DE LA CHAPELLE VILLERS-LE-LAC 25130,Enseignement primaire
21100299300015,8 RUE DE LA CRAISE PRUNAY-BELLEVILLE 10350,Administration publique générale
30299790300059,131 AVENUE DE LA CELLE SAINT CLOUD VAUCRESSON 92420,Activités de clubs de sports
03888267600018,103 AV MARECHAL FOCH SAINT-GERMAIN-EN-LAYE 78100 RES VAUBAN,Activités combinées de soutien lié aux bâtiments
21380323200031,1 LA GARE PRESSINS 38480,Accueil de jeunes enfants
21920024300331,3 RUE SIMONNEAU CLICHY 92110,Activité des médecins généralistes
21310353400011,MONES 31370,Administration publique générale
30171874800025,28 ROUTE D'ESPAGNE SAVIGNAC-LES-ORMEAUX 09110,Location de logements
26140127700940,6 SQUARE JEAN MOULIN LISIEUX 14100,Activités hospitalières
26890005700061,2 BOULEVARD DE VERDUN AUXERRE 89000,Enseignement supérieur
26760164900077,2 RUE DE CLEVES EU 76260,Activités des infirmiers et des sages-femmes
21720252200017,PLACE DU 8 MAI 1945 REQUEIL 72510,Administration publique générale
26600157700029,36 RUE DE FAY CLERMONT 60600,Hébergement social pour personnes âgées
26150347800016,VITRAC 15220,Action sociale sans hébergement n.c.a.
26130007300184,12 BOULEVARD D'ATHENES MARSEILLE 13001,Activité des médecins généralistes
20005513500020,40 PL DE LA MAIRIE ARLAY 39140,Administration publique générale
21060142300028,TOUET DE L'ESCARENE 06440,Enseignement primaire
03937603300013,4 RUE DU COMMANDANT RIVIERE PARIS 75008 L GROUPEMENT R L,Activités combinées de soutien lié aux bâtiments
25510242800018,PLACE EUGENE ROUYER LA NEUVILLE-AU-PONT 51800 MAIRIE,Administration publique générale
21750001604482,38 RUE DE TOURTILLE PARIS 75020,Enseignement primaire
03969537400015,15 RUE RICHELANDIERE SAINT-ETIENNE 42000,Activités combinées de soutien lié aux bâtiments
21590274300024,RUE DE GUISE LA GROISE 59360,Enseignement primaire
21570630000021,11 PLACE PIERRE MESSMER SARREBOURG 57400,"Captage, traitement et distribution d'eau"
21810014700030,ANGLES 81260 MAIRIE,Hôtels et hébergement similaire
21770431100059,54 AVENUE LEOPOLD PELLETIER SAINT-PIERRE-LES-NEMOURS 77140,Enseignement pré-primaire
20005908700011,4 RUE DE LA ROCHEJAQUELEIN SEVREMONT 85700 MAIRIE,Action sociale sans hébergement n.c.a.
21760045100033,LE BOURG AUZOUVILLE L'ESNEVAL 76760 MAIRIE,Gestion de salles de spectacles
21350190100010,6 RUE DES ECOLES MONTHAULT 35420,Administration publique générale
03870635400016,8 RUE BLANCHE PARIS 75009 TRICK,Activités combinées de soutien lié aux bâtiments
18140001100076,9 RUE CLAUDE BLOCH CAEN 14000,Enseignement supérieur
21910345400159,2 RUE DES TEMPLIERS LONGJUMEAU 91160,Enseignement pré-primaire
30165293900010,251 RUE DE VAUGIRARD PARIS 75015,Activités des syndicats de salariés
03885863500014,24 RUE DAUPHINE PARIS 75006,Activités combinées de soutien lié aux bâtiments
21770358600024,RUE DE L'ARPENT NOIR PENCHARD 77124,Enseignement primaire
01428594400014,26 RUE FRUCTIDOR CHALON-SUR-SAONE 71100,Activités combinées de soutien lié aux bâtiments
19550008700034,RUE ANDRE MALRAUX COMMERCY 55200,Formation continue d'adultes
22410001600183,ALL JEAN NAVARRE VARS 05560 LES CLAUX,Hébergement touristique et autre hébergement de courte durée
19622434900015,13 RUE ROGER SALENGRO SAINT-MARTIN-BOULOGNE 62280,Enseignement secondaire général
18570431900010,VAUX 57130,Activités des organisations religieuses
21670421300067,GRAND RUE SAALES 67420 MAIRIE,"Captage, traitement et distribution d'eau"
21670226600059,PL DU LAVOIR ITTENHEIM 67117,Administration publique générale
20007355900011,23 RUE DE L'HOTEL DE VILLE JUSSEY 70500,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
26590745100016,322 RUE DU DOCTEUR HENRI VANUXEEM NIEPPE 59850,Hébergement médicalisé pour personnes âgées
21420187300525,142 RUE DE CHARLIEU ROANNE 42300,Enseignement primaire
21260157900049,PLACE DE LA LIBERATION LA LAUPIE 26740 MAIRIE,Administration publique générale
21860065800015,4 RUE DE LA MAIRIE CHATEAU-LARCHER 86370,Administration publique générale
20005536600062,RUE RAVIEUX SAINT GENIEZ D'OLT ET D'AUBRAC 12130,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
03915183200019,49 AVENUE DANIELLE CASANOVA IVRY-SUR-SEINE 94200,Activités combinées de soutien lié aux bâtiments
26910046700043,1 RUE DU DOCTEUR FRANCOIS DRAVEIL 91210,Autres activités des médecins spécialistes
26670058200072,24 ROUTE DE WEILER WISSEMBOURG 67160,Supports juridiques de gestion de patrimoine mobilier
26800003100057,3 RUE DU 8 MAI 1945 ALBERT 80300,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
26850085700118,2 RUE JEAN-FRANCOIS CHAMPOLLION LA ROCHE-SUR-YON 85000,Action sociale sans hébergement n.c.a.
21710270600363,381 RUE VREMONTOISE MACON 71000 SENNECE,Enseignement primaire
21240299400017,80 RUE DE LA LIBERATION MUSSIDAN 24400,Administration publique générale
21440217400046,9 RUE G HERSART DE LA VILLEMARQUE VIGNEUX-DE-BRETAGNE 44360,Collecte et traitement des eaux usées
30270067900012,LE PUY-NOTRE-DAME 49260,Activités de clubs de sports
21630113500622,14 RUE ALBERT MALLET CLERMONT-FERRAND 63000,Enseignement primaire
18340008400368,24 COURS LAZARE ESCARGUEL PERPIGNAN 66000,Autres hébergements
21770390900143,RUE JULES FERRY ROISSY-EN-BRIE 77680,Enseignement pré-primaire
21720188800013,LE BOURG MAROLLETTE 72600,Administration publique générale
25100185500013,31 GRANDE RUE LA VENDUE-MIGNOT 10800 MAIRIE,Administration publique générale
